,Constellation,Distance,Mass,Radius
0,Pegasu,46.0,0.003818352,0.09248669999999999
1,Tucan,19.0,0.000954588,0.1644208
2,Pisce,37.0,0.006682116,0.102763
3,Pisce,23.0,0.002863764,0.14386819999999997
4,Cetu,87.0,0.00477294,0.09248669999999999
5,Cetu,13.0,0.001909176,0.14386819999999997
6,Pisce,3.0,0.003818352,0.09248669999999999
7,Pisce,28.0,0.003818352,0.09248669999999999
8,Pisce,5.0,0.001909176,0.1644208
9,Cassiopei,4.0,0.000954588,0.102763
10,Sculpto,3.0,0.003818352,0.09248669999999999
11,Cetu,9.0,0.001909176,0.14386819999999997
12,Pisce,7.0,0.00477294,0.09248669999999999
13,Cetu,5.0,0.00477294,0.09248669999999999
14,Sculpto,16.0,0.001909176,0.1644208
15,Phoeni,13.0,0.001909176,0.1644208
16,Cetu,11.0,0.003818352,0.09248669999999999
17,Cetu,15.0,0.001909176,0.14386819999999997
18,Forna,3.0,0.002863764,0.09248669999999999
19,Arie,12.57,0.007636704,0.12331559999999998
20,Cetu,2.0,0.005727528,0.102763
21,Eridanu,16.0,0.007636704,0.09248669999999999
22,Forna,4.0,0.003818352,0.09248669999999999
23,Eridanu,8.0,0.000954588,0.102763
24,Tauru,9.0,0.00477294,0.09248669999999999
25,Forna,20.0,0.006682116,0.14386819999999997
26,Tauru,38.0,0.00477294,0.3802231
27,Tauru,29.0,0.001909176,0.13359189999999999
28,Eridanu,18.0,0.002863764,0.09248669999999999
29,Eridanu,8.0,0.007636704,0.102763
30,Eridanu,29.0,0.003818352,0.09248669999999999
31,Caelu,4.0,0.005727528,0.102763
32,Caelu,6.0,0.000954588,0.719341
33,Orio,4.0,0.005727528,0.102763
34,Orio,6.0,0.001909176,0.13359189999999999
35,Orio,7.0,0.003818352,0.09248669999999999
36,Lepu,4.0,0.005727528,0.102763
37,Aurig,34.0,0.001909176,0.14386819999999997
38,Puppi,3.0,0.00477294,0.09248669999999999
39,Puppi,6.0,0.005727528,0.102763
40,Canis Majo,5.0,0.006682116,0.102763
41,Monocero,13.0,0.001909176,0.09248669999999999
42,Gemin,29.0,0.003818352,0.09248669999999999
43,Puppi,25.0,0.002863764,0.09248669999999999
44,Gemin,4.0,0.003818352,0.09248669999999999
45,Puppi,5.0,0.006682116,0.102763
46,Carin,16.0,0.003818352,0.09248669999999999
47,Cance,3.0,0.00477294,0.09248669999999999
48,Lyn,4.0,0.003818352,0.09248669999999999
49,Hydr,7.0,0.003818352,0.09248669999999999
50,Hydr,23.5,0.005727528,0.102763
51,Hydr,4.0,0.005727528,0.102763
52,Pyxi,5.0,0.00477294,0.09248669999999999
53,Le,20.0,0.003818352,0.09248669999999999
54,Antli,17.0,0.002863764,0.09248669999999999
55,Hydr,5.0,0.003818352,0.09248669999999999
56,Sextan,5.0,0.00477294,0.09248669999999999
57,Ursa Majo,6.0,0.001909176,0.14386819999999997
58,Antli,5.0,0.003818352,0.09248669999999999
59,Le,34.0,0.003818352,0.09248669999999999
60,Antli,13.1,0.006682116,0.102763
61,Vel,6.51,0.003818352,0.102763
62,Vel,6.51,0.003818352,0.102763
63,Crate,4.0,0.005727528,0.102763
64,Hydr,18.0,0.002863764,0.09248669999999999
65,Hydr,12.0,0.002863764,0.1541445
66,Centauru,3.0,0.005727528,0.102763
67,Virg,3.0,0.003818352,0.09248669999999999
68,Drac,45.0,0.003818352,0.09248669999999999
69,Virg,3.0,0.003818352,0.09248669999999999
70,Hydr,6.0,0.005727528,0.09248669999999999
71,Hydr,6.0,0.00477294,0.09248669999999999
72,Virg,6.0,0.00477294,0.09248669999999999
73,Virg,4.0,0.003818352,0.09248669999999999
74,Boöte,14.0,0.00477294,0.09248669999999999
75,Centauru,3.0,0.001909176,0.13359189999999999
76,Boöte,38.0,0.006682116,0.102763
77,Boöte,4.0,0.00477294,0.09248669999999999
78,Boöte,10.0,0.010500468,0.102763
79,Boöte,35.0,0.006682116,0.102763
80,Boöte,20.0,0.003818352,0.09248669999999999
81,Boöte,4.0,0.005727528,0.102763
82,Libr,23.0,0.005727528,0.09248669999999999
83,Boöte,3.0,0.00477294,0.09248669999999999
84,Serpen,6.0,0.00477294,0.09248669999999999
85,Libr,5.0,0.005727528,0.102763
86,Lupu,3.0,0.003818352,0.09248669999999999
87,Corona Boreali,6.0,0.002863764,0.14386819999999997
88,Libr,4.0,0.006682116,0.102763
89,Hercule,4.0,0.003818352,0.09248669999999999
90,Serpen,3.0,0.003818352,0.09248669999999999
91,Hercule,11.0,0.006682116,0.102763
92,Hercule,5.0,0.003818352,0.09248669999999999
93,Drac,6.0,0.006682116,0.102763
94,Lyr,18.0,0.006682116,0.102763
95,Capricornu,8.0,0.005727528,0.1541445
96,Aquariu,32.0,0.003818352,0.09248669999999999
97,Gru,3.0,0.003818352,0.09248669999999999
98,Camelopardali,35.0,0.000954588,0.411052
99,Camelopardali,35.0,0.000954588,0.308289
100,Ursa Majo,25.0,0.002863764,0.0822104
